SMILES,Solvent,QY
CC(C)(C)c1cc(-c2ccc3c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc4c5cc(-c6cc(C(C)(C)C)cc(C(C)(C)C)c6)ccc5c(-c5cc(C(C)(C)C)cc(C(C)(C)C)c5)cc4c3c2)cc(C(C)(C)C)c1,C(Cl)Cl,0.609
CC(C)(C)c1ccc(-c2ccc3c(-c4ccc(C(C)(C)C)c5ccccc45)cc4c5cc(-c6ccc(C(C)(C)C)c7ccccc67)ccc5c(-c5ccc(C(C)(C)C)c6ccccc56)cc4c3c2)c2ccccc12,C(Cl)Cl,0.72
CC(C)(C)c1ccc2ccc3cc(-c4ccc5c(-c6ccc7c(ccc8ccc(C(C)(C)C)cc87)c6)cc6c7cc(-c8ccc9c(ccc%10ccc(C(C)(C)C)cc%109)c8)ccc7c(-c7ccc8c(ccc9ccc(C(C)(C)C)cc98)c7)cc6c5c4)ccc3c2c1,C(Cl)Cl,0.781
CC(C)(C)C1=CC2=C3C(=CC=C4C=CC(c5cc6c7cc(-c8ccc9ccc%10cc(C(C)(C)C)cc%11ccc8c9c%10%11)ccc7c(-c7ccc8ccc9cc(C(C)(C)C)cc%10ccc7c8c9%10)cc6c6cc(-c7ccc8ccc9cc(C(C)(C)C)cc%10ccc7c8c9%10)ccc56)=C(C=C2)C43)C1,C(Cl)Cl,0.874
CC(C)(C)c1cc(CCc2ccc3c(CCc4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc4c5cc(CCc6cc(C(C)(C)C)cc(C(C)(C)C)c6)ccc5c(CCc5cc(C(C)(C)C)cc(C(C)(C)C)c5)cc4c3c2)cc(C(C)(C)C)c1,C(Cl)Cl,0.626
CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2ccc3c(N(c4ccc(C(C)(C)C)cc4)c4ccc(C(C)(C)C)cc4)cc4c5cc(N(c6ccc(C(C)(C)C)cc6)c6ccc(C(C)(C)C)cc6)ccc5c(N(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc4c3c2)cc1,C(Cl)Cl,0.44
O=c1oc2ccccc2cc1-c1cc2ccccc2o1,CC1=CC=CC=C1,0.88
O=c1oc2ccccc2cc1-c1cc2ccccc2o1,CCOC(=O)C,0.79
O=c1oc2ccccc2cc1-c1cc2ccccc2o1,CC#N,0.75
COc1ccc2oc(-c3cc4cc(OC)ccc4oc3=O)cc2c1,CS(=O)C,0.16
O=c1oc2ccc(Br)cc2cc1-c1cc2cc(Br)ccc2o1,CS(=O)C,0.2
O=c1oc2ccc(Cl)cc2cc1-c1cc2cc(Cl)ccc2o1,CS(=O)C,0.2
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,C1CCCCC1,0.424
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,CC1=CC=CC=C1,0.402
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,C1COCCO1,0.38
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,C(Cl)(Cl)Cl,0.27
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,CCOC(=O)C,0.296
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,C1CCOC1,0.294
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,CC(=O)C,0.142
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,CN(C)C=O,0.173
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,CC#N,0.141
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,CS(=O)C,0.154
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,CCO,0.051
CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,CO,0.042
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,C1CCCCC1,0.424
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,CC1=CC=CC=C1,0.431
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,C1COCCO1,0.42
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,C(Cl)(Cl)Cl,0.348
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,CCOC(=O)C,0.108
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,C1CCOC1,0.123
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,CC(=O)C,0.011
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,CN(C)C=O,0.005
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,CC#N,0.005
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,CS(=O)C,0.004
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,CCO,0.007
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,CO,0.004
CC1(C)OB(c2cc3ccc4cccc5ccc(c2)c3c45)OC1(C)C,CC1=CC=CC=C1,0.72
CC1(C)OB(c2cc3ccc4cc(B5OC(C)(C)C(C)(C)O5)cc5ccc(c2)c3c45)OC1(C)C,CC1=CC=CC=C1,0.88
c1ccc(CCc2cc3ccc4cc(CCc5ccccc5)cc5ccc(c2)c3c45)cc1,CC1=CC=CC=C1,0.29
CC1(C)OB(c2ccc3ccc4cccc5ccc2c3c45)OC1(C)C,CC1=CC=CC=C1,0.81
Cc1cc(C)c(B(c2ccc(-c3ccc4ccc5cccc6ccc3c4c56)cc2)c2c(C)cc(C)cc2C)c(C)c1,CC1=CC=CC=C1,0.61
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2ccc3ccc4cccc5ccc2c3c45)c(C)c1,CC1=CC=CC=C1,0.71
COc1cc2c(cc1-c1ccncc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccncc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.42
COc1cc2c(cc1-c1ccc(C(F)(F)F)cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc(C(F)(F)F)cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.45
COc1cc2c(cc1-c1ccc(CN)cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc(CN)cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.51
COc1cc2c(cc1-c1ccc([N+](=O)[O-])cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc([N+](=O)[O-])cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.11
COc1cc2c(cc1-c1ccc(C=O)cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc(C=O)cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.52
COc1cc2c(cc1-c1ccc(Cl)cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc(Cl)cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.52
COc1cc2c(cc1-c1ccc(F)cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc(F)cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.52
COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.53
COc1cc2c(cc1-c1ccc(C)cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc(C)cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.67
COc1cc2c(cc1-c1ccsc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccsc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.55
COc1ccc(-c2cc3c(cc2OC)-c2c(c4c(c5c2-c2cc(OC)c(-c6ccc(OC)cc6)cc2C5)C(=O)N(CCC(C)C)C4=O)C3)cc1,C1CCOC1,0.59
COc1cc2c(cc1-c1cccs1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2cccs2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.53
COc1cc2c(cc1-c1ccc(N(c3ccccc3)c3ccccc3)cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc(N(c5ccccc5)c5ccccc5)cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.12
COc1cc2c(cc1-c1ccc(N(C)C)cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,0.02
COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O,CC1=CC=CC=C1,0.48
COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C(Cl)Cl,0.63
COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O,CCOC(=O)C,0.61
COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C(Cl)(Cl)Cl,0.64
COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O,CC(=O)C,0.38
COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O,CC#N,0.46
COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O,CS(=O)C,0.47
NCc1ccc(CCc2ccc3ccc4ccc(CCc5ccc(CN)cc5)c5ccc2c3c45)cc1,CCCCCC,0.8004
NCc1ccc(CCc2ccc3ccc4ccc(CCc5ccc(CN)cc5)c5ccc2c3c45)cc1,C(Cl)Cl,0.732
NCc1ccc(CCc2ccc3ccc4ccc(CCc5ccc(CN)cc5)c5ccc2c3c45)cc1,CO,0.7337
CN(C)c1ccc(CCc2ccc3ccc4ccc(CCc5ccc(N(C)C)cc5)c5ccc2c3c45)cc1,CCCCCC,0.6323
CN(C)c1ccc(CCc2ccc3ccc4ccc(CCc5ccc(N(C)C)cc5)c5ccc2c3c45)cc1,C(Cl)Cl,0.5339
CN(C)c1ccc(CCc2ccc3ccc4ccc(CCc5ccc(N(C)C)cc5)c5ccc2c3c45)cc1,CO,0.2562
Nc1ccc(CCc2ccc3ccc4ccc(CCc5ccc(N)cc5)c5ccc2c3c45)cc1,CCCCCC,0.4657
Nc1ccc(CCc2ccc3ccc4ccc(CCc5ccc(N)cc5)c5ccc2c3c45)cc1,C(Cl)Cl,0.6458
CN(C)c1ccc(CCc2ccc3ccc4c(CCc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CCCCCC,0.6931
CN(C)c1ccc(CCc2ccc3ccc4c(CCc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,C(Cl)Cl,0.531
CN(C)c1ccc(CCc2ccc3ccc4c(CCc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CO,0.3686
O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc(CCc3ccc4ccc5ccc(CCc6ccc(NS(=O)(=O)c7ccc([N+](=O)[O-])cc7[N+](=O)[O-])cc6)c6ccc3c4c56)cc2)c([N+](=O)[O-])c1,CO,0.003
Nc1ccc(CCc2ccc3ccc4ccc(CCc5ccc(NS(=O)(=O)c6ccc([N+](=O)[O-])cc6[N+](=O)[O-])cc5)c5ccc2c3c45)cc1,CO,0.016
CN(C)CCCN1c2ccccc2Sc2ccccc21,CC#N,0.02
CN(C)CCCN1c2ccccc2Sc2ccccc21,CO,0.0045
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CC#N,0.00089
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CO,0.00095
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,O,0.0036
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,CC#N,0.0011
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,CO,0.001
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,O,0.0014
CSc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,CC#N,0.003
CSc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,CO,0.003
CSc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,O,0.003
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CC#N,0.0084
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CO,0.0466
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,O,0.0033
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CC#N,0.001
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CO,0.001
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,O,0.0014
CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,CC#N,0.005
CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,CO,0.0041
CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,O,0.006
F[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C(Cl)(Cl)Cl,0.036
c1ccc2c([SiH](c3c4ccccc4cc4ccccc34)c3c4ccccc4cc4ccccc34)c3ccccc3cc2c1,C(Cl)(Cl)Cl,0.028
O[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C(Cl)(Cl)Cl,0.015
CO[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C(Cl)(Cl)Cl,0.0056
C=C[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C(Cl)(Cl)Cl,0.017
C[Si](C)(C)CC[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C(Cl)(Cl)Cl,0.04
F[Si](c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,C(Cl)(Cl)Cl,0.52
F[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,0.033
F[Si-](F)(c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,0.64
F[Si](c1ccccc1)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,0.17
F[Si-](F)(c1ccccc1)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,0.46
F[Si-](F)(c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,C1CCOC1,0.76
F[Si](c1ccccc1)(c1ccccc1)c1cccc2ccccc12,C1CCOC1,0.14
F[Si-](F)(c1ccccc1)(c1ccccc1)c1cccc2ccccc12,C1CCOC1,0.061
F[Si](c1ccccc1)(c1ccccc1)c1cc2ccccc2c2ccccc12,C1CCOC1,0.11
F[Si-](F)(c1ccccc1)(c1ccccc1)c1cc2ccccc2c2ccccc12,C1CCOC1,0.19
CN(C)c1ccc(/C=C/C=N/N=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,C(Cl)(Cl)Cl,0.007
CN(C)c1ccc(/C=C/C=N/N=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,C(Cl)Cl,0.008
CN(C)c1ccc(/C=C/C=N/N=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,CC#N,0.032
CN(C)c1ccc(/C=C/C=N/N=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,CC(=O)C,0.01
NCc1ccc(CCc2ccccc2CN)cc1,C(Cl)(Cl)Cl,0.452
NCc1ccc(CCc2ccc(CCc3ccccc3CN)cc2CN)cc1,C(Cl)(Cl)Cl,0.783
NCc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C(Cl)(Cl)Cl,0.858
CSc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C(Cl)(Cl)Cl,0.972
Cc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C(Cl)(Cl)Cl,0.96
COc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C(Cl)(Cl)Cl,0.982
c1ccc(CCc2ccc(CCc3ccccc3)cc2)cc1,C(Cl)(Cl)Cl,0.5
c1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4)cc3)cc2)cc1,C(Cl)(Cl)Cl,0.61
COc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C1CCCCC1,0.972
COc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C1CCOC1,0.972
COc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,CC#N,0.973
NCc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C1CCCCC1,0.779
NCc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C1CCOC1,0.855
NCc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,CC#N,0.77
NCc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,CN(C)C=O,0.718
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CCOC(=O)C,0.35
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,C(Cl)Cl,0.44
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CC(=O)C,0.45
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CC#N,0.51
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,CCOC(=O)C,0.34
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,C(Cl)Cl,0.41
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,CC(=O)C,0.41
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,CC#N,0.42
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CCOC(=O)C,0.31
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,C(Cl)Cl,0.39
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CC(=O)C,0.21
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CC#N,0.12
COc1ccc2cc(/C=C/C3=[O+][B-](F)(F)OC(/C=C/c4ccc5cc(OC)ccc5c4)=C3c3ccccc3)ccc2c1,C(Cl)Cl,0.51
Cn1c2ccccc2c2cc(/C=C/C3=[O+][B-](F)(F)OC(/C=C/c4ccc5c(c4)c4ccccc4n5C)=C3c3ccccc3)ccc21,C(Cl)Cl,0.6
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2cccc(OC)c2)cc1,C(Cl)Cl,0.41
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccc(OC)cc2)cc1,C(Cl)Cl,0.39
COC(=O)c1ccc(C2=C(/C=C/c3ccc(OC)cc3)O[B-](F)(F)[O+]=C2/C=C/c2ccc(OC)cc2)cc1,C(Cl)Cl,0.43
c1ccc(CCc2ccccc2)cc1,CO,0.0015
c1ccc(CCc2ccccc2)cc1,C(Cl)Cl,0.003
CCCCCCN(CCCCCC)c1ccc(CCc2ccc(CN)cc2)cc1,CO,0.015
CCCCCCN(CCCCCC)c1ccc(CCc2ccc(CN)cc2)cc1,C(Cl)Cl,0.37
CCCCCCN(CCCCCC)c1ccc(CCc2ccc(CN)cc2)cc1,CC#N,0.005
CCCCCCN(CCCCCC)c1ccc(CCc2ccc(C(F)(F)F)cc2)cc1,CO,0.0074
CCCCCCN(CCCCCC)c1ccc(CCc2ccc(C(F)(F)F)cc2)cc1,C(Cl)Cl,0.24
CCCCCCN(CCCCCC)c1ccc(CCc2c(F)c(F)c(F)c(F)c2F)cc1,CO,0.0014
CCCCCCN(CCCCCC)c1ccc(CCc2c(F)c(F)c(F)c(F)c2F)cc1,C(Cl)Cl,0.026
CCCCCCN(CCCCCC)c1ccc(CCc2ccc(N(CCCCCC)CCCCCC)cc2)cc1,CO,0.0001
O=C1OC(=O)c2ccc(N(c3ccccc3)c3ccc4ccc5cccc6ccc3c4c56)c3cccc1c23,CCCCCC,0.131
O=C1OC(=O)c2ccc(N(c3ccccc3)c3c4ccccc4cc4ccccc34)c3cccc1c23,CCCCCC,0.304
O=C1OC(=O)c2ccc(N(c3ccccc3)c3c4ccccc4cc4ccccc34)c3cccc1c23,C1CCCCC1,0.0051
O=C1OC(=O)c2ccc(N(c3ccccc3)c3c4ccccc4cc4ccccc34)c3cccc1c23,C1CCOC1,0.0005
O=C1OC(=O)c2ccc(N(c3ccccc3)c3ccc4ccccc4c3)c3cccc1c23,C1CCCCC1,0.0162
O=C1OC(=O)c2ccc(N(c3ccccc3)c3ccc4ccccc4c3)c3cccc1c23,C1CCOC1,0.0003
c1ccc2c(-c3ccc(-c4nnc(-c5ccc(-c6nnc(-c7ccc(-c8cccc9ccccc89)s7)o6)cc5)o4)s3)cccc2c1,C(Cl)(Cl)Cl,0.18
C=Cc1ccc(-c2ccc(-c3nnc(-c4ccc(-c5nnc(-c6ccc(-c7ccc(C=C)cc7)s6)o5)cc4)o3)s2)cc1,C(Cl)(Cl)Cl,0.62
COC(=O)c1ccc(-c2ccc(-c3nnc(-c4ccc(-c5nnc(-c6ccc(-c7ccc(C(=O)OC)cc7)s6)o5)cc4)o3)s2)cc1,C(Cl)(Cl)Cl,0.7
c1ccc2sc(-c3ccc(-c4nnc(-c5ccc(-c6nnc(-c7ccc(-c8cc9ccccc9s8)s7)o6)cc5)o4)s3)cc2c1,C(Cl)(Cl)Cl,0.61
CCc1ccc(-c2ccc(-c3nnc(-c4ccc(-c5nnc(-c6ccc(-c7ccc(CC)cc7)s6)o5)cc4)o3)s2)cc1,C(Cl)(Cl)Cl,0.6
Cc1ccc(Sc2ccc3ccc4cccc5ccc2c3c45)cc1,C(Cl)Cl,0.07
Cc1ccc(Sc2cc3cccc4ccc5cccc2c5c43)cc1,C(Cl)Cl,0.03
Cc1ccc(Sc2cc3ccc4cccc5ccc(c2)c3c45)cc1,C(Cl)Cl,0.29
Clc1ccc(/C=C/c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,C1CCOC1,0.42
Clc1ccc(/C=C/c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,C(Cl)Cl,0.34
Clc1ccc(/C=C/c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,CC#N,0.26
Clc1ccc(/C=C/c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,CO,0.16
C(=C/c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1)\c1ccncc1,C1CCOC1,0.54
C(=C/c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1)\c1ccncc1,CC#N,0.32
C(=C/c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1)\c1ccncc1,CO,0.19
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,C1CCOC1,0.11
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,C(Cl)Cl,0.07
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,CC#N,0.15
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,CO,0.09
C(=C/c1nc2ccccc2s1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,C1CCOC1,0.33
C(=C/c1nc2ccccc2s1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,C(Cl)Cl,0.25
C(=C/c1nc2ccccc2s1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,CC#N,0.17
C(=C/c1nc2ccccc2s1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,CO,0.11
COc1cc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(OC)cc1/C=C/c1nc2ccccc2[nH]1,C1CCOC1,0.75
COc1cc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(OC)cc1/C=C/c1nc2ccccc2[nH]1,C(Cl)Cl,0.62
COc1cc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(OC)cc1/C=C/c1nc2ccccc2[nH]1,CC#N,0.43
CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,CC1=CC=CC=C1,0.08
CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,C1COCCO1,0.08
CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,C1CCOC1,0.089
CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,CCOC(=O)C,0.09
CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,C(Cl)(Cl)Cl,0.13
CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,C(Cl)Cl,0.16
CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,CC(=O)C,0.15
