SMILES,Solvent,LGAC,Et30,SP,SdP,SA,SB
NCc1ccc(CCc2ccccc2CN)cc1,C(Cl)(Cl)Cl,4.58,39.1,0.783,0.614,0.047,0.071
NCc1ccc(CCc2ccc(CCc3ccccc3CN)cc2CN)cc1,C(Cl)(Cl)Cl,4.74,39.1,0.783,0.614,0.047,0.071
NCc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C(Cl)(Cl)Cl,4.94,39.1,0.783,0.614,0.047,0.071
CSc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C(Cl)(Cl)Cl,4.89,39.1,0.783,0.614,0.047,0.071
Cc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C(Cl)(Cl)Cl,4.91,39.1,0.783,0.614,0.047,0.071
COc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C(Cl)(Cl)Cl,4.87,39.1,0.783,0.614,0.047,0.071
c1ccc(CCc2ccc(CCc3ccccc3)cc2)cc1,C(Cl)(Cl)Cl,4.59,39.1,0.783,0.614,0.047,0.071
c1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4)cc3)cc2)cc1,C(Cl)(Cl)Cl,4.77,39.1,0.783,0.614,0.047,0.071
COc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C1CCCCC1,4.84,30.9,0.683,0,0,0.073
COc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C1CCOC1,4.89,37.4,0.714,0.634,0,0.591
COc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,CC#N,4.89,45.6,0.645,0.974,0.044,0.286
NCc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C1CCCCC1,4.78,30.9,0.683,0,0,0.073
NCc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,C1CCOC1,4.91,37.4,0.714,0.634,0,0.591
NCc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,CC#N,4.75,45.6,0.645,0.974,0.044,0.286
NCc1ccc(CCc2ccc(CCc3ccc(CCc4ccccc4CN)cc3CN)cc2CN)cc1,CN(C)C=O,4.79,43.2,0.759,0.977,0.031,0.613
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,C(Cl)Cl,4.8778,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,C(Cl)Cl,4.8934,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,C(Cl)Cl,4.7362,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,C(Cl)Cl,4.7565,40.7,0.761,0.769,0.04,0.178
COc1ccc2cc(/C=C/C3=[O+][B-](F)(F)OC(/C=C/c4ccc5cc(OC)ccc5c4)=C3c3ccccc3)ccc2c1,C(Cl)Cl,4.8581,40.7,0.761,0.769,0.04,0.178
Cn1c2ccccc2c2cc(/C=C/C3=[O+][B-](F)(F)OC(/C=C/c4ccc5c(c4)c4ccccc4n5C)=C3c3ccccc3)ccc21,C(Cl)Cl,4.843,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2cccc(OC)c2)cc1,C(Cl)Cl,4.8645,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccc(OC)cc2)cc1,C(Cl)Cl,4.8698,40.7,0.761,0.769,0.04,0.178
COC(=O)c1ccc(C2=C(/C=C/c3ccc(OC)cc3)O[B-](F)(F)[O+]=C2/C=C/c2ccc(OC)cc2)cc1,C(Cl)Cl,4.8737,40.7,0.761,0.769,0.04,0.178
c1ccc(CCc2ccccc2)cc1,CO,4.4183,55.4,0.608,0.904,0.605,0.545
CCCCCCN(CCCCCC)c1ccc(CCc2ccc(CN)cc2)cc1,CO,4.5145,55.4,0.608,0.904,0.605,0.545
CCCCCCN(CCCCCC)c1ccc(CCc2ccc(C(F)(F)F)cc2)cc1,CO,4.5366,55.4,0.608,0.904,0.605,0.545
CCCCCCN(CCCCCC)c1ccc(CCc2ccc(C(F)(F)F)cc2)cc1,C(Cl)Cl,4.5587,40.7,0.761,0.769,0.04,0.178
CCCCCCN(CCCCCC)c1ccc(CCc2c(F)c(F)c(F)c(F)c2F)cc1,CO,4.6314,55.4,0.608,0.904,0.605,0.545
CCCCCCN(CCCCCC)c1ccc(CCc2ccc(N(CCCCCC)CCCCCC)cc2)cc1,CO,4.6928,55.4,0.608,0.904,0.605,0.545
Clc1ccc(/C=C/c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,C1CCOC1,5.0402,37.4,0.714,0.634,0,0.591
Clc1ccc(/C=C/c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,C(Cl)Cl,4.7846,40.7,0.761,0.769,0.04,0.178
Clc1ccc(/C=C/c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,CC#N,5.0111,45.6,0.645,0.974,0.044,0.286
Clc1ccc(/C=C/c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,CO,5.0278,55.4,0.608,0.904,0.605,0.545
C(=C/c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1)\c1ccncc1,C1CCOC1,5.0523,37.4,0.714,0.634,0,0.591
C(=C/c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1)\c1ccncc1,CC#N,4.8993,45.6,0.645,0.974,0.044,0.286
C(=C/c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1)\c1ccncc1,CO,4.8116,55.4,0.608,0.904,0.605,0.545
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,C1CCOC1,5.1287,37.4,0.714,0.634,0,0.591
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,C(Cl)Cl,4.9939,40.7,0.761,0.769,0.04,0.178
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,CC#N,4.938,45.6,0.645,0.974,0.044,0.286
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,CO,4.9791,55.4,0.608,0.904,0.605,0.545
C(=C/c1nc2ccccc2s1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,C1CCOC1,5.1284,37.4,0.714,0.634,0,0.591
C(=C/c1nc2ccccc2s1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,C(Cl)Cl,4.9991,40.7,0.761,0.769,0.04,0.178
C(=C/c1nc2ccccc2s1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,CC#N,4.9031,45.6,0.645,0.974,0.044,0.286
C(=C/c1nc2ccccc2s1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,CO,4.7818,55.4,0.608,0.904,0.605,0.545
COc1cc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(OC)cc1/C=C/c1nc2ccccc2[nH]1,C1CCOC1,5.1492,37.4,0.714,0.634,0,0.591
COc1cc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(OC)cc1/C=C/c1nc2ccccc2[nH]1,C(Cl)Cl,5.086,40.7,0.761,0.769,0.04,0.178
COc1cc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(OC)cc1/C=C/c1nc2ccccc2[nH]1,CC#N,4.8102,45.6,0.645,0.974,0.044,0.286
Nc1ccc2cc(-c3ccc(C(F)(F)F)cc3)oc(=O)c2c1,CCO,4.3385,51.9,0.633,0.783,0.4,0.658
CS(=O)(=O)c1ccc(-c2cc3ccc(N)cc3c(=O)o2)cc1,CO,4.3874,55.4,0.608,0.904,0.605,0.545
CCN(CC)c1ccc2cc(-c3nc4cc(C(=O)Nc5ccccc5)ccc4o3)c(=O)oc2c1,C(Cl)Cl,5.5079,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(-c3nc4cc(C(=O)Nc5ccccc5Cl)ccc4o3)c(=O)oc2c1,C(Cl)Cl,5.5051,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(-c3nc4cc(C(=O)Nc5ccc(C)cc5[N+](=O)[O-])ccc4o3)c(=O)oc2c1,C(Cl)Cl,5.5705,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(-c3nc4cc(C(=O)Nc5cccc(C)c5)ccc4o3)c(=O)oc2c1,C(Cl)Cl,5.4654,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(-c3nc4cc(C(=O)Nc5cccc(OC)c5)ccc4o3)c(=O)oc2c1,C(Cl)Cl,5.5079,40.7,0.761,0.769,0.04,0.178
O=C(Nc1ccccc1[N+](=O)[O-])c1ccc2oc(-c3cc4ccccc4oc3=O)nc2c1,C(Cl)Cl,5.2878,40.7,0.761,0.769,0.04,0.178
COc1ccc(NC(=O)C(C(=O)Nc2ccc(OC)cc2)C(c2ccccc2O)c2c(C)[nH]c3ccccc23)cc1,CS(=O)C,4.4914,45.1,0.83,1,0.072,0.647
COc1ccc(NC(=O)C(C(=O)Nc2ccc(OC)cc2)C(c2ccccc2O)c2c(C)[nH]c3ccccc23)cc1,CO,4.5441,55.4,0.608,0.904,0.605,0.545
COc1ccc(NC(=O)C(C(=O)Nc2ccc(OC)cc2)C(c2cc(F)ccc2O)c2c[nH]c3ccc(OC)cc23)cc1,CS(=O)C,4.6128,45.1,0.83,1,0.072,0.647
NCc1ccc(C2=Cc3ccccc3P2(=O)c2ccccc2)cc1,C(Cl)Cl,4.19,40.7,0.761,0.769,0.04,0.178
O=Cc1ccc(C2=Cc3ccccc3P2(=O)c2ccccc2)cc1,C(Cl)Cl,4.21,40.7,0.761,0.769,0.04,0.178
Clc1ccc(/C=C/c2ccncn2)cc1,C(Cl)Cl,4.0682,40.7,0.761,0.769,0.04,0.178
Brc1ccc(/C=C/c2ccncn2)cc1,C(Cl)Cl,4.0719,40.7,0.761,0.769,0.04,0.178
CSc1ccc(/C=C/c2ccncn2)cc1,C(Cl)Cl,4.3655,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(/C=C/c2ccncn2)cc1,C(Cl)Cl,4.4564,40.7,0.761,0.769,0.04,0.178
C(=C/c1ccncn1)\c1ccc(N2CCCCC2)cc1,C(Cl)Cl,4.4472,40.7,0.761,0.769,0.04,0.178
C(=C/c1ccncn1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)Cl,4.5051,40.7,0.761,0.769,0.04,0.178
C(=C/c1ccncn1)\c1ccc(-c2ccco2)cc1,C(Cl)Cl,4.2765,40.7,0.761,0.769,0.04,0.178
Clc1ccc(/C=C/c2cnc3ccccc3n2)cc1,C(Cl)Cl,4.0569,40.7,0.761,0.769,0.04,0.178
Brc1ccc(/C=C/c2cnc3ccccc3n2)cc1,C(Cl)Cl,4.1271,40.7,0.761,0.769,0.04,0.178
CSc1ccc(/C=C/c2cnc3ccccc3n2)cc1,C(Cl)Cl,4.3345,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(/C=C/c2cnc3ccccc3n2)cc1,C(Cl)Cl,4.3502,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(/C=C/c2cnccn2)cc1,C(Cl)Cl,4.2788,40.7,0.761,0.769,0.04,0.178
C(=C/c1cnccn1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)Cl,4.3711,40.7,0.761,0.769,0.04,0.178
C(=C/c1ccncn1)\c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,C(Cl)Cl,4.549,40.7,0.761,0.769,0.04,0.178
COc1ccc(-c2ccc(/C=C/c3ccncn3)cc2)cc1,C(Cl)Cl,4.5211,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(-c2ccc(/C=C/c3cnc4ccccc4n3)cc2)cc1,C(Cl)Cl,4.6405,40.7,0.761,0.769,0.04,0.178
COc1ccc(-c2ccc(/C=C/c3cnc4ccccc4n3)cc2)cc1,C(Cl)Cl,4.4757,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(/C=C/C(=O)/C=C(O)/C=C/c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,C1CCOC1,5.0992,37.4,0.714,0.634,0,0.591
CCN(CC)c1ccc2cc(/C=C/C(=O)/C=C(O)/C=C/c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,CCOC(=O)C,5.183,38.1,0.656,0.603,0,0.542
CCN(CC)c1ccc2cc(/C=C/C(=O)/C=C(O)/C=C/c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,C(Cl)Cl,5.1049,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(/C=C/C(=O)/C=C(O)/C=C/c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,C(Cl)(Cl)Cl,5.0909,39.1,0.783,0.614,0.047,0.071
CCN(CC)c1ccc2cc(/C=C/C(=O)/C=C(O)/C=C/c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,CC(=O)C,5.1438,42.2,0.651,0.907,0,0.475
CCN(CC)c1ccc2cc(/C=C/C(=O)/C=C(O)/C=C/c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,CC#N,4.7879,45.6,0.645,0.974,0.044,0.286
CCN(CC)c1ccc2cc(/C=C/C(=O)/C=C(O)/C=C/c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,CN(C)C=O,5.0403,43.2,0.759,0.977,0.031,0.613
CCN(CC)c1ccc2cc(/C=C/C(=O)/C=C(O)/C=C/c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,CS(=O)C,5.0276,45.1,0.83,1,0.072,0.647
CCN(CC)c1ccc2cc(/C=C/C(O)=C3\CC/C(=C\c4cc5ccc(N(CC)CC)cc5oc4=O)C3=O)c(=O)oc2c1,C1COCCO1,4.7896,36,0.737,0.312,0,0.444
CCN(CC)c1ccc2cc(/C=C/C(O)=C3\CC/C(=C\c4cc5ccc(N(CC)CC)cc5oc4=O)C3=O)c(=O)oc2c1,C(Cl)(Cl)Cl,4.9078,39.1,0.783,0.614,0.047,0.071
CCN(CC)c1ccc2cc(/C=C/C(O)=C3\CC/C(=C\c4cc5ccc(N(CC)CC)cc5oc4=O)C3=O)c(=O)oc2c1,CS(=O)C,4.7233,45.1,0.83,1,0.072,0.647
CCN(CC)c1ccc2cc(/C=C/C(O)=C/C(C)=O)c(=O)oc2c1,CC1=CC=CC=C1,4.7453,33.9,0.782,0.284,0,0.128
CCN(CC)c1ccc2cc(/C=C/C(O)=C/C(C)=O)c(=O)oc2c1,CCOC(=O)C,4.6946,38.1,0.656,0.603,0,0.542
CCN(CC)c1ccc2cc(/C=C/C(O)=C/C(C)=O)c(=O)oc2c1,C(Cl)Cl,4.7023,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(/C=C/C(O)=C/C(C)=O)c(=O)oc2c1,C(Cl)(Cl)Cl,4.6417,39.1,0.783,0.614,0.047,0.071
CCN(CC)c1ccc2cc(/C=C/C(O)=C/C(C)=O)c(=O)oc2c1,CC(=O)C,4.7059,42.2,0.651,0.907,0,0.475
CCN(CC)c1ccc2cc(/C=C/C(O)=C/C(C)=O)c(=O)oc2c1,CC#N,4.722,45.6,0.645,0.974,0.044,0.286
CCN(CC)c1ccc2cc(/C=C/C(O)=C/C(C)=O)c(=O)oc2c1,CS(=O)C,4.468,45.1,0.83,1,0.072,0.647
CCN(CC)c1ccc2cc(/C=C/C(O)=C/C(C)=O)c(=O)oc2c1,CO,4.5916,55.4,0.608,0.904,0.605,0.545
CCN(CC)c1ccc2cc(/C=C/C3=CC(/C=C/c4cc5ccc(N(CC)CC)cc5oc4=O)=[O+][B-](F)(F)O3)c(=O)oc2c1,C(Cl)(Cl)Cl,5.1425,39.1,0.783,0.614,0.047,0.071
CCN(CC)c1ccc2cc(/C=C/C3=CC(/C=C/c4cc5ccc(N(CC)CC)cc5oc4=O)=[O+][B-](F)(F)O3)c(=O)oc2c1,CC(=O)C,5.1116,42.2,0.651,0.907,0,0.475
CCN(CC)c1ccc2cc(/C=C/C3=CC(/C=C/c4cc5ccc(N(CC)CC)cc5oc4=O)=[O+][B-](F)(F)O3)c(=O)oc2c1,C(Cl)Cl,5.1736,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(/C=C/C3=CC(/C=C/c4cc5ccc(N(CC)CC)cc5oc4=O)=[O+][B-](F)(F)O3)c(=O)oc2c1,CC#N,5.1089,45.6,0.645,0.974,0.044,0.286
CCN(CC)c1ccc2cc(/C=C/C3=CC(/C=C/c4cc5ccc(N(CC)CC)cc5oc4=O)=[O+][B-](F)(F)O3)c(=O)oc2c1,CN(C)C=O,5.082,43.2,0.759,0.977,0.031,0.613
CCN(CC)c1ccc2cc(/C=C/C3=CC(/C=C/c4cc5ccc(N(CC)CC)cc5oc4=O)=[O+][B-](F)(F)O3)c(=O)oc2c1,CS(=O)C,5.0308,45.1,0.83,1,0.072,0.647
CCN(CC)c1ccc2cc(/C=C/C3=C4CC/C(=C\c5cc6ccc(N(CC)CC)cc6oc5=O)C4=[O+][B-](F)(F)O3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.9443,39.1,0.783,0.614,0.047,0.071
CCN(CC)c1ccc2cc(/C=C/C3=C4CC/C(=C\c5cc6ccc(N(CC)CC)cc6oc5=O)C4=[O+][B-](F)(F)O3)c(=O)oc2c1,CS(=O)C,4.9329,45.1,0.83,1,0.072,0.647
CC[n+]1ccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,CC1=CC=CC=C1,4.1987,33.9,0.782,0.284,0,0.128
CC[n+]1ccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,C1CCOC1,4.2455,37.4,0.714,0.634,0,0.591
CC[n+]1ccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,CC#N,4.1303,45.6,0.645,0.974,0.044,0.286
CC[n+]1ccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,CS(=O)C,4.0864,45.1,0.83,1,0.072,0.647
CC[n+]1ccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,O,3.9685,63.1,0.681,0.997,1.062,0.025
CC[N+]1=C(/C=C/c2ccc3ccc4cccc5ccc2c3c45)C(C)(C)c2ccccc21,C1CCOC1,4.5988,37.4,0.714,0.634,0,0.591
CC[N+]1=C(/C=C/c2ccc3ccc4cccc5ccc2c3c45)C(C)(C)c2ccccc21,CS(=O)C,4.5478,45.1,0.83,1,0.072,0.647
CC[N+]1=C(/C=C/c2ccc3ccc4cccc5ccc2c3c45)C(C)(C)c2ccccc21,O,4.1644,63.1,0.681,0.997,1.062,0.025
CC[n+]1ccc(/C=C/c2cc3cccc4ccc5cccc2c5c43)cc1,CC1=CC=CC=C1,3.8865,33.9,0.782,0.284,0,0.128
CC[n+]1ccc(/C=C/c2cc3cccc4ccc5cccc2c5c43)cc1,C1CCOC1,3.9445,37.4,0.714,0.634,0,0.591
CC[n+]1ccc(/C=C/c2cc3cccc4ccc5cccc2c5c43)cc1,CC#N,3.9191,45.6,0.645,0.974,0.044,0.286
CC[n+]1ccc(/C=C/c2cc3cccc4ccc5cccc2c5c43)cc1,CS(=O)C,3.9445,45.1,0.83,1,0.072,0.647
CC[n+]1ccc(/C=C/c2cc3cccc4ccc5cccc2c5c43)cc1,O,3.8195,63.1,0.681,0.997,1.062,0.025
CC[N+]1=C(/C=C/c2cc3cccc4ccc5cccc2c5c43)C(C)(C)c2ccccc21,C1CCOC1,3.9445,37.4,0.714,0.634,0,0.591
CC[N+]1=C(/C=C/c2cc3cccc4ccc5cccc2c5c43)C(C)(C)c2ccccc21,CC#N,4.1703,45.6,0.645,0.974,0.044,0.286
CC[N+]1=C(/C=C/c2cc3cccc4ccc5cccc2c5c43)C(C)(C)c2ccccc21,CS(=O)C,3.9345,45.1,0.83,1,0.072,0.647
CC[N+]1=C(/C=C/c2cc3cccc4ccc5cccc2c5c43)C(C)(C)c2ccccc21,O,4.0043,63.1,0.681,0.997,1.062,0.025
CCC1=C(C)C2=C(C)c3c(C)c(-c4csc(N5CCOCC5)n4)c(C)n3[B-](F)(F)[N+]2=C1C,CC#N,4.9032,45.6,0.645,0.974,0.044,0.286
CCC1=C(C)C2=C(C)c3c(C)c(-c4csc(N5CCOCC5)n4)c(C)n3[B-](F)(F)[N+]2=C1C,CN(C)C=O,4.7118,43.2,0.759,0.977,0.031,0.613
CCC1=C(C)C2=C(C)c3c(C)c(-c4csc(N5CCOCC5)n4)c(C)n3[B-](F)(F)[N+]2=C1C,CS(=O)C,4.7652,45.1,0.83,1,0.072,0.647
CCC1=C(C)C2=C(C)c3c(C)c(-c4csc(N5CCOCC5)n4)c(C)n3[B-](F)(F)[N+]2=C1C,CO,4.6928,55.4,0.608,0.904,0.605,0.545
CCC1=C(C)C2=C(C)c3c(C)c(-c4csc(N5CCOCC5)n4)c(C)n3[B-](F)(F)[N+]2=C1C,CCO,4.653,51.9,0.633,0.783,0.4,0.658
CCC1=C(C)C2=C(C)c3c(C)c(-c4csc(N5CCOCC5)n4)c(C)n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C,4.6735,38.1,0.656,0.603,0,0.542
CCC1=C(C)C2=C(C)c3c(C)c(-c4csc(N5CCOCC5)n4)c(C)n3[B-](F)(F)[N+]2=C1C,C(Cl)Cl,4.7642,40.7,0.761,0.769,0.04,0.178
CC1=C(Cc2ccccc2)C(C)=[N+]2C1=C(C)c1c(C)c(-c3csc(N4CCOCC4)n3)c(C)n1[B-]2(F)F,CC#N,4.7803,45.6,0.645,0.974,0.044,0.286
CC1=C(Cc2ccccc2)C(C)=[N+]2C1=C(C)c1c(C)c(-c3csc(N4CCOCC4)n3)c(C)n1[B-]2(F)F,CN(C)C=O,4.7551,43.2,0.759,0.977,0.031,0.613
CC1=C(Cc2ccccc2)C(C)=[N+]2C1=C(C)c1c(C)c(-c3csc(N4CCOCC4)n3)c(C)n1[B-]2(F)F,CS(=O)C,4.6851,45.1,0.83,1,0.072,0.647
CC1=C(Cc2ccccc2)C(C)=[N+]2C1=C(C)c1c(C)c(-c3csc(N4CCOCC4)n3)c(C)n1[B-]2(F)F,CO,4.6444,55.4,0.608,0.904,0.605,0.545
CC1=C(Cc2ccccc2)C(C)=[N+]2C1=C(C)c1c(C)c(-c3csc(N4CCOCC4)n3)c(C)n1[B-]2(F)F,CCO,4.486,51.9,0.633,0.783,0.4,0.658
CC1=C(Cc2ccccc2)C(C)=[N+]2C1=C(C)c1c(C)c(-c3csc(N4CCOCC4)n3)c(C)n1[B-]2(F)F,CCOC(=O)C,4.7264,38.1,0.656,0.603,0,0.542
CC1=C(Cc2ccccc2)C(C)=[N+]2C1=C(C)c1c(C)c(-c3csc(N4CCOCC4)n3)c(C)n1[B-]2(F)F,C(Cl)Cl,4.6454,40.7,0.761,0.769,0.04,0.178
COc1ccc(-c2ncccn2)cc1,C(Cl)Cl,4.4249,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/c2ccncn2)cc1,C(Cl)Cl,4.4548,40.7,0.761,0.769,0.04,0.178
CCCCCCOc1ccc(-c2ccc(/C=C/c3cc(/C=C/c4ccc(-c5ccc(OCCCCCC)cc5)cc4)ncn3)cc2)cc1,C(Cl)Cl,4.7818,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(/C=C/c2ncccn2)cc1,C(Cl)Cl,4.5038,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(-c2cc(-c3ccc(N(C)C)cc3)ncn2)cc1,C(Cl)Cl,4.5809,40.7,0.761,0.769,0.04,0.178
C(=C/c1ncccn1)\c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,C(Cl)Cl,4.5623,40.7,0.761,0.769,0.04,0.178
c1ccc(N(c2ccccc2)c2ccc(-c3ccncn3)cc2)cc1,C(Cl)Cl,4.4969,40.7,0.761,0.769,0.04,0.178
CC(C)(C)C1Nc2ccccc2C(=O)N1Cc1ccccc1,C(Cl)(Cl)Cl,3.4771,39.1,0.783,0.614,0.047,0.071
CC(C)(C)C1Nc2ccccc2C(=O)N1Cc1ccccc1,C1CCCCC1,3.4729,30.9,0.683,0,0,0.073
CC(C)(C)C1Nc2ccccc2C(=O)N1Cc1ccccc1,CO,3.4652,55.4,0.608,0.904,0.605,0.545
CC(C)(C)C1Nc2ccccc2C(=O)N1Cc1ccccc1,CC#N,3.4633,45.6,0.645,0.974,0.044,0.286
O=C1c2ccccc2NC(c2ccccc2)N1Cc1ccccc1,C1CCCCC1,3.4048,30.9,0.683,0,0,0.073
O=C1c2ccccc2NC(c2ccccc2)N1Cc1ccccc1,C(Cl)(Cl)Cl,3.4624,39.1,0.783,0.614,0.047,0.071
O=C1c2ccccc2NC(c2ccccc2)N1Cc1ccccc1,CO,3.4005,55.4,0.608,0.904,0.605,0.545
O=C1c2ccccc2NC(c2ccccc2)N1Cc1ccccc1,CC#N,3.3736,45.6,0.645,0.974,0.044,0.286
CC(C)(C)C1Nc2ccccc2C(=O)N1c1ccccc1,C1CCCCC1,3.5717,30.9,0.683,0,0,0.073
CC(C)(C)C1Nc2ccccc2C(=O)N1c1ccccc1,C(Cl)(Cl)Cl,3.616,39.1,0.783,0.614,0.047,0.071
CC(C)(C)C1Nc2ccccc2C(=O)N1c1ccccc1,CO,3.5599,55.4,0.608,0.904,0.605,0.545
CC(C)(C)C1Nc2ccccc2C(=O)N1c1ccccc1,CC#N,3.5641,45.6,0.645,0.974,0.044,0.286
COc1ccc(N2C(=O)c3ccccc3NC2C(C)(C)C)cc1,C1CCCCC1,3.5563,30.9,0.683,0,0,0.073
COc1ccc(N2C(=O)c3ccccc3NC2C(C)(C)C)cc1,C(Cl)(Cl)Cl,3.683,39.1,0.783,0.614,0.047,0.071
COc1ccc(N2C(=O)c3ccccc3NC2C(C)(C)C)cc1,CO,3.6036,55.4,0.608,0.904,0.605,0.545
COc1ccc(N2C(=O)c3ccccc3NC2C(C)(C)C)cc1,CC#N,3.5185,45.6,0.645,0.974,0.044,0.286
O=C1c2ccccc2NCN1Cc1ccccc1,C1CCCCC1,3.4594,30.9,0.683,0,0,0.073
O=C1c2ccccc2NCN1Cc1ccccc1,C(Cl)(Cl)Cl,3.4871,39.1,0.783,0.614,0.047,0.071
O=C1c2ccccc2NCN1Cc1ccccc1,CO,3.4854,55.4,0.608,0.904,0.605,0.545
O=C1c2ccccc2NCN1Cc1ccccc1,CC#N,3.4314,45.6,0.645,0.974,0.044,0.286
CC(C)(C)C1Nc2c(Cl)cc(Cl)cc2C(=O)N1Cc1ccccc1,C1CCCCC1,3.4409,30.9,0.683,0,0,0.073
