SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,AC(cm-1M-1),LogAC
Cc1ccc(S(=O)(=O)Oc2c(F)cc3c(-c4ccccc4C(=O)O)c4cc(F)c(=O)c(F)c-4oc3c2F)c([N+](=O)[O-])c1,MeCN,NA,NA,NA,NA,7100,3.8513
Cc1ccc(S(=O)(=O)OCc2c(Cl)c(Cl)c([C](c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c(Cl)c2Cl)cc1,Cyclohexane,NA,NA,NA,NA,96900,4.9863
Cc1ccc(S(=O)(=O)OCc2c(Cl)c(Cl)c(C(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c(Cl)c2Cl)cc1,Cyclohexane,NA,NA,NA,NA,123300,5.091
Cc1ccc(S(=O)(=O)OCc2cc(=O)oc3c2ccc2ccccc23)cc1,EtOH,NA,NA,NA,NA,27542,4.44
Cc1ccc(SC(c2c(C)cc(C)cc2C)c2ccc3n2[B-](F)(F)[N+]2=C(Cc4c(C)cc(C)cc4C)C=CC2=C3c2ccccc2)cc1,CH2Cl2,527,NA,NA,NA,NA,NA
Cc1ccc(SC(c2c(Cl)cccc2Cl)c2ccc3n2[B-](F)(F)[N+]2=C(Cc4c(Cl)cccc4Cl)C=CC2=C3c2ccccc2)cc1,CH2Cl2,537,NA,NA,NA,NA,NA
Cc1ccc(SC2=[N+]3C(=C(c4c(C)cc(C)cc4C)c4cc(Br)c(Sc5ccc(C)cc5)n4[B-]3(F)F)C=C2Br)cc1,MeCN,594,NA,NA,NA,16840,4.2263
Cc1ccc(SC2=[N+]3C(=C(c4c(C)cc(C)cc4C)c4cc(Br)c(Sc5ccc(C)cc5)n4[B-]3(F)F)C=C2Br)cc1,THF,601,NA,NA,NA,16640,4.2212
Cc1ccc(SC2=[N+]3C(=C(c4c(C)cc(C)cc4C)c4cc(Br)c(Sc5ccc(C)cc5)n4[B-]3(F)F)C=C2Br)cc1,CH2Cl2,602,NA,NA,NA,16610,4.2204
Cc1ccc(SC2=[N+]3C(=C(c4c(C)cc(C)cc4C)c4cc(Br)c(Sc5ccc(C)cc5)n4[B-]3(F)F)C=C2Br)cc1,Cyclohexane,606,NA,NA,NA,16500,4.2175
Cc1ccc(SC2=[N+]3C(=C(c4c(C)cc(C)cc4C)c4cc(Br)c(Sc5ccc(C)cc5)n4[B-]3(F)F)C=C2Br)cc1,Toluene,610,NA,NA,NA,16390,4.2146
Cc1ccc(SC2=c3ccc4n3[Ni+2]n3c(ccc3C(c3ccccc3)=C3C=CC(=N3)C=4c3cc(C(C)(C)C)cc(C(C)(C)C)c3)C(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)=C3C=CC2=N3)cc1,CH2Cl2,NA,NA,NA,NA,218776,5.34
Cc1ccc(SC2=CC(Cc3c(C)cc(C)cc3C)[N+]3=C2C(c2ccccc2)=C2C=CC(Cc4c(C)cc(C)cc4C)N2[B-]3(F)F)cc1,CH2Cl2,522,NA,NA,NA,NA,NA
Cc1ccc(SC2=CC(Cc3c(Cl)cccc3Cl)=[N+]3C2=C(c2ccccc2)c2ccc(Cc4c(Cl)cccc4Cl)n2[B-]3(F)F)cc1,CH2Cl2,532,NA,NA,NA,NA,NA
Cc1ccc(SC2=CC3=NC2=Cc2c(Sc4ccc(C)cc4)cc4n2[Zn+2]n2c(ccc2=C(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)C2=NC(=C4c4cc(C(C)(C)C)cc(C(C)(C)C)c4)C=C2)=C3c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1,CH2Cl2,NA,NA,NA,NA,270000,5.4314
Cc1ccc(Sc2cc3ccc4cccc5ccc(c2)c3c45)cc1,CH2Cl2,342,405,63,0.29,NA,NA
Cc1ccc(Sc2cc3cccc4ccc5cccc2c5c43)cc1,CH2Cl2,346,416,70,0.03,NA,NA
Cc1ccc(Sc2ccc3ccc4cccc5ccc2c3c45)cc1,CH2Cl2,352,415,63,0.07,NA,NA
Cc1ccc2/c(=C/c3ccc(N(C)C)cc3)o/c(=C\c3ccccc3)c2c1,CH2Cl2,407,516,109,0.0618,NA,NA
Cc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(C)ccc7[nH]6)cc5)c(C)c4)cc3)nc2c1,DMF,333,408,75,0.86,41800,4.6212
Cc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(C)ccc7[nH]6)cc5)c(F)c4)cc3)nc2c1,DMF,344,423,79,0.98,58200,4.7649
Cc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(C)ccc7[nH]6)cc5)cc4)cc3)nc2c1,DMF,351,416,65,0.94,57300,4.7582
Cc1ccc2[nH]c3cc(O)cc(O)c3c(=O)c2c1,MeOH,NA,NA,NA,NA,7015,3.846
Cc1ccc2[s+]c3ccc(C(C)(C)C)cc3cc2c1,CH2Cl2,NA,NA,NA,NA,2200,3.3424
Cc1ccc2c([N+](=O)[O-])c3ccncc3cc2c1[N+](=O)[O-],CHCl3,NA,NA,NA,NA,77624,4.89
Cc1ccc2c(=O)c3c(NCCN)cccc3oc2c1,MeOH,NA,NA,NA,NA,112200,5.05
Cc1ccc2c(=O)c3c(O)cc(O)cc3[nH]c2c1,MeOH,NA,NA,NA,NA,6471,3.811
Cc1ccc2c(=O)c3c(O)cc(O)cc3n(C)c2c1,MeOH,NA,NA,NA,NA,20277,4.307
Cc1ccc2c(=O)c3c(OCCOCCO)cccc3oc2c1,MeOH,NA,NA,NA,NA,10000,4
Cc1ccc2c(=O)c3ccccc3n(CCCCOc3ccccc3)c2c1,EtOH,NA,NA,NA,NA,25119,4.4
Cc1ccc2c(=O)c3ccccc3oc2c1,EtOH,NA,NA,NA,NA,42560,4.629
Cc1ccc2c(=O)c3ccccc3oc2c1C,EtOH,NA,NA,NA,NA,35975,4.556
Cc1ccc2c(C=Cc3ccc(N(C)c4ccccc4)cc3)cc(=O)oc2c1,CHCl3,424,NA,NA,NA,NA,NA
Cc1ccc2c(C=Cc3ccc4c(c3)c3ccccc3n4C)cc(=O)oc2c1,CHCl3,393,NA,NA,NA,NA,NA
Cc1ccc2c(C=Cc3ccc4c(c3)Sc3cc(C=Cc5cc(=O)oc6cc(C)ccc56)ccc3N4C)cc(=O)oc2c1,CHCl3,441,NA,NA,NA,NA,NA
Cc1ccc2c(C=Cc3ccc4c(c3)Sc3ccccc3N4C)cc(=O)oc2c1,CHCl3,424,NA,NA,NA,NA,NA
Cc1ccc2c(C=Cc3cn(C)c4ccccc34)cc(=O)oc2c1,CHCl3,398,NA,NA,NA,NA,NA
Cc1ccc2c(C=Nc3c(C)cccc3C)ccc(O)c2n1,Toluene,284,NA,NA,NA,NA,NA
Cc1ccc2c(c1)B(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c1cc(C)cc3c1N2c1ccc(C)cc1B3c1c(C(C)C)cc(C(C)C)cc1C(C)C,CH2Cl2,457,482,25,0.76,NA,NA
Cc1ccc2c(c1)C(=CCl)c1cc(C)ccc1S2,MeOH,NA,NA,NA,NA,16218,4.21
Cc1ccc2c(c1)C(=O)C(=O)C1=C2OC(C)(C)CC1,EtOH,NA,NA,NA,NA,27353,4.437
Cc1ccc2c(c1)C(=O)C1=C(C=CC(C)(C)O1)C2=O,MeOH,NA,NA,NA,NA,23988,4.38
Cc1ccc2c(c1)C(=O)C1=C(OC(C)(C)C=C1)C2=O,MeOH,NA,NA,NA,NA,29512,4.47
Cc1ccc2c(c1)C(=O)C1=CC=CCC1(C)C2=O,MeOH,NA,NA,NA,NA,23790,4.3764
Cc1ccc2c(c1)C(=O)c1c(ccc(C)c1O)C2=O,MeOH,NA,NA,NA,NA,19952,4.3
Cc1ccc2c(c1)C(=O)c1c(O)cccc1C2=O,EtOH,NA,NA,NA,NA,38904,4.59
Cc1ccc2c(c1)C(=O)c1cc(C)ccc1C2=O,EtOH,NA,NA,NA,NA,40700,4.6096
Cc1ccc2c(c1)C(=O)c1ccc(C)cc1C2=O,EtOH,NA,NA,NA,NA,45800,4.6609
Cc1ccc2c(c1)C(=O)c1cccc(O)c1C2=O,MeOH,NA,NA,NA,NA,39811,4.6
Cc1ccc2c(c1)C(=O)c1ccccc1C2=O,MeOH,NA,NA,NA,NA,29055,4.4632
Cc1ccc2c(c1)C(=O)c1ccccc1C2=O,CHCl3,NA,NA,NA,NA,36308,4.56
Cc1ccc2c(c1)c(=O)c1ccccc1n2CCCCCC(=O)O,H2O,419,434,15,NA,NA,NA
Cc1ccc2c(c1)c(=O)c1ccccc1n2CCCCOc1ccccc1,EtOH,NA,NA,NA,NA,24547,4.39
Cc1ccc2c(c1)C(=O)c1ccncc1-2,Hexane,409,488,79,0.0032,NA,NA
Cc1ccc2c(c1)C(=O)c1ccncc1-2,MeCN,409,537,128,0.019,NA,NA
Cc1ccc2c(c1)C(C)(C)C1(C=Cc3c(c(-c4nc(-c5ccccc5)c(-c5ccccc5)o4)cc4ccccc34)O1)N2C,Toluene,309,NA,NA,NA,NA,NA
Cc1ccc2c(c1)C(C)(C)c1cc(C)ccc1N2,EtOH,NA,NA,NA,NA,21878,4.34
Cc1ccc2c(c1)C(C)(C)c1cc(C)ccc1N2c1ccc2c(c1)C(C)(C)c1cc(N3c4ccc(C)cc4C(C)(C)c4cc(C)ccc43)ccc1S2(=O)=O,Toluene,NA,470,NA,NA,NA,NA
Cc1ccc2c(c1)C(C)(C)NC1=C2CCCC1=O,Diethyl ether,NA,NA,NA,NA,14700,4.1673
Cc1ccc2c(c1)C(C)(c1ccccc1)c1cc(C)ccc1N2,EtOH,NA,NA,NA,NA,16218,4.21
Cc1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1cc(C)ccc1N2,EtOH,NA,NA,NA,NA,12303,4.09
Cc1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1cc(C)ccc1N2c1cc(C(C)C)c(B2c3ccccc3Sc3ccccc32)c(C(C)C)c1,Toluene,NA,487,NA,NA,NA,NA
Cc1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1cc(C)ccc1N2c1ccc2c(c1)N(c1ccccc1)c1ccccc1B2c1c(C(C)C)cc(C(C)C)cc1C(C)C,Toluene,NA,449,NA,NA,NA,NA
Cc1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1cc(C)ccc1N2c1ccc2c(c1)Oc1ccccc1B2c1c(C(C)C)cc(C(C)C)cc1C(C)C,Toluene,NA,477,NA,NA,NA,NA
Cc1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1cc(C)ccc1N2c1ccc2c(c1)Sc1ccccc1B2c1c(C(C)C)cc(C(C)C)cc1C(C)C,Toluene,NA,493,NA,NA,NA,NA
Cc1ccc2c(c1)C(c1ccccc1)=C(c1ccccc1)C1=Cc3ccccc3NB12,CH2Cl2,382,451,69,0.4,NA,NA
Cc1ccc2c(c1)C(c1ccccc1)NC1=C2CCCC1=O,Diethyl ether,NA,NA,NA,NA,12500,4.0969
Cc1ccc2c(c1)c(CN)c(CN)c1cc(C)ccc12,CHCl3,343,396,53,0.15,NA,NA
Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1ccc(-c2nc(-c3ccccc3)cc(-c3ccccc3)n2)cc1,Toluene,386,458,72,NA,NA,NA
Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1ccc(-c2ncccn2)cc1,Toluene,380,461,81,NA,NA,NA
Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1ccc2c(c1)Oc1ccccc1P2(=O)c1ccccc1,Toluene,311,443,132,NA,NA,NA
Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1ccc2c(c1)Oc1ccccc1P2(=S)c1ccccc1,Toluene,311,443,132,NA,NA,NA
Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1ccc2c(c1)Sc1ccccc1P2(=O)c1ccccc1,Toluene,311,455,144,NA,NA,NA
Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1ccc2c(c1)Sc1ccccc1P2(=S)c1ccccc1,Toluene,311,455,144,NA,NA,NA
Cc1ccc2c(c1)C1(c3ccccc3Oc3ccccc31)c1cc(C)ccc1N2c1ccc(-c2nc(-c3ccccc3)cc(-c3ccccc3)n2)cc1,Toluene,378,451,73,NA,NA,NA
Cc1ccc2c(c1)C1(c3ccccc3Oc3ccccc31)c1cc(C)ccc1N2c1ccc(-c2ncccn2)cc1,Toluene,379,454,75,NA,NA,NA
Cc1ccc2c(c1)-c1c(O)cc(CCCCC(=O)O)cc1OC2(C)C,EtOH,NA,NA,NA,NA,21000,4.3222
Cc1ccc2c(c1)c1cc(Br)ccc1n2-c1c(CN)c(-n2c3ccc(Br)cc3c3cc(Br)ccc32)c(-n2c3ccc(Br)cc3c3cc(Br)ccc32)c(CN)c1-n1c2ccc(Br)cc2c2cc(Br)ccc21,Toluene,339,546,207,0.45,NA,NA
Cc1ccc2c(c1)c1cc(C)ccc1n2-c1c(CN)c(-n2c3ccc(C)cc3c3cc(C)ccc32)c(-n2c3ccc(C)cc3c3cc(C)ccc32)c(CN)c1-n1c2ccc(C)cc2c2cc(C)ccc21,Toluene,NA,561,NA,0.474,NA,NA
Cc1ccc2c(c1)c1cc(C)ccc1n2-c1c(-n2c3ccccc3c3ccccc32)c(CN)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccc(C)cc3c3cc(C)ccc32)c1-n1c2ccccc2c2ccccc21,Toluene,NA,480,NA,0.85,NA,NA
Cc1ccc2c(c1)c1cc(C)ccc1n2-c1cccc(-n2c3ccc(C)cc3c3cc(C)ccc32)c1CN,Toluene,368,417,49,0.34,NA,NA
Cc1ccc2c(c1)c1ccc(C(C)(C)C)cc1n[n+]2-c1cccc(C(C)(C)C)c1,CH2Cl2,392,509,117,0.03,NA,NA
Cc1ccc2c(c1)CC1=C(CC(C)(C)CC1=O)N2,EtOH,NA,NA,NA,NA,16982,4.23
Cc1ccc2c(c1)n(C)c(-c1ccc(-c3ccc(-c4ccc(-c5n(C)c6cc(C)ccc6[n+]5C)cc4)cc3)cc1)[n+]2C,H2O,315,397,82,0.68,66700,4.8241
Cc1ccc2c(c1)N(Cc1ccccc1)B1C(=C2)C(c2ccccc2)=C(c2ccccc2)c2ccccc21,CH2Cl2,394,463,69,0.76,NA,NA
Cc1ccc2c(c1)N(Cc1ccccc1)B1OB3C(=Cc4ccc(C)cc4N3Cc3ccccc3)C(c3ccccc3)=C(c3ccccc3)C1=C2,CH2Cl2,421,434,13,0.68,NA,NA
Cc1ccc2c(c1)-n1c(cc3ccccc31)-c1ccccc1-2,MeCN,363,445,82,0.28,NA,NA
Cc1ccc2c(c1)-n1c(nc3ccccc31)-c1ccccc1-2,MeCN,309,374,65,0.89,NA,NA
Cc1ccc2c(c1)-n1ccnc1-c1ccccc1-2,MeCN,300,388,88,0.54,NA,NA
Cc1ccc2c(c1)NC(=O)CC(=O)N2,DMSO,294,346,52,NA,NA,NA
Cc1ccc2c(c1)nc(Cc1ccccc1)c(=O)n2C[C@@H]1CCCN2CCCC[C@H]12,EtOH,NA,NA,NA,NA,27542,4.44
Cc1ccc2c(c1)nc1c(=O)n(C)c(=O)nc-1n2C,MeCN,446,532,86,0.43,NA,NA
Cc1ccc2c(c1)nnn2-c1c(CN)c2c(N)ncnc2n1[C@H]1C[C@H](O)[C@@H](CO)O1,MeOH,278,419,141,0.007,17100,4.233
Cc1ccc2c(c1Cl)C(=O)c1c(ccc(C)c1Cl)C2=O,EtOH,NA,NA,NA,NA,35400,4.549
Cc1ccc2c(c1Cl)C(=O)c1ccc(C)c(Cl)c1C2=O,EtOH,NA,NA,NA,NA,35000,4.5441
Cc1ccc2c(c1O)C(=O)c1c(O)ccc(O)c1C2=O,MeOH,NA,NA,NA,NA,14125,4.15
Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,EtOH,NA,NA,NA,NA,22387,4.35
Cc1ccc2c(c1O)C(=O)c1ccc(O)c(O)c1C2=O,MeOH,NA,NA,NA,NA,31623,4.5
Cc1ccc2c(c1O)C(=O)c1ccc(O[C@@H]3O[C@H](CO[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)c(O)c1C2=O,MeOH,NA,NA,NA,NA,40738,4.61
Cc1ccc2c(c1O)C(=O)c1cccc(O)c1C2=O,MeOH,NA,NA,NA,NA,13804,4.14
Cc1ccc2c(c1O)C(=O)c1cccc(O)c1C2=O,EtOH,NA,NA,NA,NA,20893,4.32
Cc1ccc2c(c1O)C(=O)c1ccccc1C2=O,CHCl3,NA,NA,NA,NA,33800,4.5289
Cc1ccc2c(c1O)C(=O)c1ccccc1C2=O,MeOH,NA,NA,NA,NA,26303,4.42
Cc1ccc2c(c1O)c(=O)oc1ccc(Cl)cc12,MeCN,NA,NA,NA,NA,33113,4.52
Cc1ccc2c(c1O)c(=O)oc1ccccc12,MeCN,NA,NA,NA,NA,24547,4.39
Cc1ccc2c(-c3cc(-c4cc5c(ccc6ccccc65)oc4=O)nc(-c4cc5c(ccc6ccccc65)oc4=O)c3)cc(=O)oc2c1,Chlorobenzene,385,NA,NA,NA,NA,NA
Cc1ccc2c(-c3cc(-c4cc5ccccc5oc4=O)nc(-c4cc5ccccc5oc4=O)c3)cc(=O)oc2c1,Chlorobenzene,352,NA,NA,NA,NA,NA
Cc1ccc2c(-c3ccc(Br)cc3)c3c(n2c1)C(=O)N(CCNC(=O)OC(C)(C)C)C3,CH2Cl2,312,457,145,0.5,NA,NA
Cc1ccc2c(-c3ccc(C(F)(F)F)cc3)c3c(n2c1)C(=O)N(C)C3,CH2Cl2,NA,450,NA,NA,NA,NA
Cc1ccc2c(-c3ccccc3)c(-c3ccccc3)c3cccc4c(-c5ccccc5)c(-c5ccccc5)c1[n+]2c34,CH2Cl2,355,468,113,0.7,NA,NA
Cc1ccc2c(-c3cnc4ccccc4c3)c3ccccc3c(-c3cnc4ccccc4c3)c2c1,THF,421,NA,NA,NA,NA,NA
Cc1ccc2c(CC(=O)NN)coc2c1,Ethyl acetate,298,390,92,NA,NA,NA
Cc1ccc2c(CC(=O)NN)coc2c1,THF,295,400,105,NA,NA,NA
Cc1ccc2c(CC(=O)NN)coc2c1,CH2Cl2,291,399,108,NA,NA,NA
Cc1ccc2c(CC(=O)NN)coc2c1,Acetone,298,402,104,NA,NA,NA
Cc1ccc2c(CC(=O)NN)coc2c1,EtOH,288,397,109,NA,NA,NA
Cc1ccc2c(CC(=O)NN)coc2c1,MeOH,281,391,110,NA,NA,NA
Cc1ccc2c(CC(=O)NN)coc2c1,MeCN,278,397,119,NA,NA,NA
Cc1ccc2c(CC(=O)NN)coc2c1,DMF,310,412,102,NA,NA,NA
Cc1ccc2c(ccc3oc(C)cc(=O)c32)c1,CHCl3,NA,NA,NA,NA,121400,5.0842
Cc1ccc2c(nc3c(=O)n(C)c(=O)nc-3n2C)c1C,MeCN,448,543,95,0.17,NA,NA
Cc1ccc2c3ccc(C(C)(C)C)cc3n[n+](-c3cccc(C(C)(C)C)c3)c2c1,CH2Cl2,462,520,58,0.02,NA,NA
Cc1ccc2cc(C)ccc2c1,Cyclohexane,310,343,33,0.59,NA,NA
Cc1ccc2cc(CCc3ccccc3)c3ccccc3c2n1,CH2Cl2,NA,NA,NA,NA,39800,4.5999
Cc1ccc2cc3c(=O)n(C)c(=O)n(C)c3nc2c1,CHCl3,355,406,51,0.11,NA,NA
Cc1ccc2cc3c(=O)n(C)c(=O)n(C)c3nc2c1,CH2Cl2,355,405,50,0.02,NA,NA
Cc1ccc2cc3c(=O)n(C)c(=O)n(C)c3nc2c1,MeCN,353,405,52,0.14,NA,NA
Cc1ccc2cc3c(=O)n(C)c(=O)n(C)c3nc2c1,EtOH,353,409,56,0.15,NA,NA
Cc1ccc2cc3c(=O)n(C)c(=O)n(C)c3nc2c1,MeOH,352,409,57,0.14,NA,NA
Cc1ccc2cc3c4ccc(-c5ccc(/C=C(\CN)C(=O)O)s5)cc4c4ccccc4n3c2c1,THF,453,NA,NA,0.73,NA,NA
Cc1ccc2cc3c4ccc(-c5ccc(-c6ccc(/C=C(\CN)C(=O)O)s6)s5)cc4c4ccccc4n3c2c1,THF,411,NA,NA,0.72,NA,NA
Cc1ccc2cc3cc(C)ncc3cc2c1,EtOH,384,443,59,0.48,NA,NA
Cc1ccc2cc3ccccc3nc2n1,Acetone,368,NA,NA,NA,NA,NA
Cc1ccc2cc3cccnc3cc2c1,CHCl3,NA,NA,NA,NA,100000,5
Cc1ccc2cc3ncccc3cc2c1,CHCl3,NA,NA,NA,NA,173779,5.24
Cc1ccc2ccc3c(C)cc(C=O)c4ccc1c2c34,CH2Cl2,410,439,29,0.18,NA,NA
Cc1ccc2ccc3c(C)ccc4ccc1c2c43,Hexane,344,380,36,0.52,43652,4.64
Cc1ccc2ccc3c(C)ccc4ccc1c2c43,CH2Cl2,346,382,36,0.4,NA,NA
Cc1ccc2ccc3c(C)ccc4ccc1c2c43,MeOH,344,381,37,0.56,NA,NA
Cc1ccc2ccc3c(c2n1)N/C(=C\C1=C([O-])/C(=C/C2=[NH+]c4c(ccc5ccc(C)nc45)C2(C)C)C1=O)C3(C)C,Cyclohexane,692,713,21,0.31,NA,NA
Cc1ccc2ccc3c(c2n1)N/C(=C\C1=C([O-])/C(=C/C2=[NH+]c4c(ccc5ccc(C)nc45)C2(C)C)C1=O)C3(C)C,DMF,689,716,27,0.38,NA,NA
Cc1ccc2ccc3c(c2n1)N/C(=C\C1=C([O-])/C(=C/C2=[NH+]c4c(ccc5ccc(C)nc45)C2(C)C)C1=O)C3(C)C,DMSO,692,717,25,0.43,NA,NA
Cc1ccc2ccc3c(c2n1)N/C(=C\C1=C([O-])/C(=C/C2=[NH+]c4c(ccc5ccc(C)nc45)C2(C)C)C1=O)C3(C)C,Dioxane,688,708,20,0.21,NA,NA
Cc1ccc2ccc3c(c2n1)N/C(=C\C1=C([O-])/C(=C/C2=[NH+]c4c(ccc5ccc(C)nc45)C2(C)C)C1=O)C3(C)C,MeCN,681,705,24,0.38,NA,NA
Cc1ccc2ccc3c(c2n1)N/C(=C\C1=C([O-])/C(=C/C2=[NH+]c4c(ccc5ccc(C)nc45)C2(C)C)C1=O)C3(C)C,MeOH,679,703,24,0.31,NA,NA
Cc1ccc2ccc3c(c2n1)N/C(=C\C1=C([O-])/C(=C/C2=[NH+]c4c(ccc5ccc(C)nc45)C2(C)C)C1=O)C3(C)C,THF,690,711,21,0.37,NA,NA
Cc1ccc2ccc3c(c2n1)N/C(=C\C1=C([O-])/C(=C/C2=[NH+]c4c(ccc5ccc(C)nc45)C2(C)C)C1=O)C3(C)C,Toluene,694,718,24,0.34,NA,NA
Cc1ccc2ccc3cccc4ccc1c2c34,Hexane,338,377,39,0.34,45709,4.66
Cc1ccc2ccc3cccc4ccc1c2c34,CH2Cl2,341,378,37,0.45,NA,NA
Cc1ccc2ccc3cccc4ccc1c2c34,MeOH,338,377,39,0.28,NA,NA
Cc1ccc2ccc3oc(C)cc(=O)c3c2c1,CHCl3,NA,NA,NA,NA,127100,5.1041
Cc1ccc2ccccc2c1,Cyclohexane,304,339,35,0.52,NA,NA
Cc1ccc2ccccc2c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,DMSO,546,585,39,NA,NA,NA
Cc1ccc2cccnc2c1O,MeOH,415,NA,NA,NA,NA,NA
Cc1ccc2nc(/C=C/c3ccc(N(C)C)cc3)c(-c3ccccc3)nc2c1,Dioxane,430,528,98,0.13,29100,4.4639
Cc1ccc2nc(/C=C/c3ccc(N(C)C)cc3)c(-c3ccccc3)nc2c1,CH2Cl2,436,571,135,0.18,28800,4.4594
Cc1ccc2nc(/C=C/c3ccc(N(C)C)cc3)c(-c3ccccc3)nc2c1,MeCN,433,614,181,0.04,28500,4.4548
Cc1ccc2nc(-c3cc(-c4ccc(Cl)cc4)n(C)n3)c(NC(C)(C)C)n2c1,CHCl3,329,436,107,0.23,NA,NA
Cc1ccc2nc(-c3cc(-c4ccc(Cl)cc4)n(-c4ccccc4)n3)c(NC(C)(C)C)n2c1,CHCl3,327,445,118,0.16,NA,NA
Cc1ccc2nc(-c3cc(-c4nc5ccc(C)cc5[nH]4)cc(-c4nc5ccc(C)cc5[nH]4)c3)[nH]c2c1,DMSO,323,387,64,NA,NA,NA
Cc1ccc2nc(-c3cccc4nc(C)[nH]c(=O)c34)[nH]c2c1,DMF,322,431,109,0.036,NA,NA
Cc1ccc2nc(-c3cccc4nc(C)[nH]c(=O)c34)oc2c1,DMF,310,410,100,0.076,NA,NA
Cc1ccc2nc(N=Cc3cc(Cl)cc(Cl)c3O)sc2c1,MeOH,273,NA,NA,NA,44700,4.6503
Cc1ccc2nc3[nH]c(=O)[nH]c(=O)c3nc2c1,MeCN,382,443,61,0.025,NA,NA
Cc1ccc2nc3[nH]c(=O)[nH]c(=O)c3nc2c1,DCB,384,442,58,0.034,NA,NA
Cc1ccc2nc3[nH]c(=O)[nH]c(=O)c3nc2c1C,MeCN,388,469,81,0.041,NA,NA
Cc1ccc2nc3c(=O)[nH]c(=O)[nH]c3nc2c1,MeCN,370,426,56,0.017,NA,NA
Cc1ccc2nc3c(=O)[nH]c(=O)[nH]c3nc2c1,DCB,368,425,57,0.024,NA,NA
Cc1ccc2nc3c(=O)[nH]c(=O)[nH]c3nc2c1C,MeCN,375,461,86,0.019,NA,NA
Cc1ccc2nc3c(=O)n(C)c(=O)nc-3n(C)c2c1,MeCN,435,518,83,0.28,NA,NA
Cc1ccc2nc3c(cc2c1)C(=O)CC(C)(C)C3,EtOH,NA,NA,NA,NA,46773,4.67
Cc1ccc2nc3c(nc2c1)c(-c1ccccc1)nn3C,Cyclohexane,424,472,48,0.29,7250,3.8603
Cc1ccc2nc3c(nc2c1)c(-c1ccccc1)nn3C,THF,425,500,75,0.47,7560,3.8785
Cc1ccc2nc3c(nc2c1)c(-c1ccccc1)nn3C,MeCN,423,516,93,0.31,6820,3.8338
Cc1ccc2nc3c4c(c5ccccc5c3nc2c1)OC(=O)CC4c1ccc(C(F)(F)F)cc1,CHCl3,411,430,19,NA,14000,4.1461
Cc1ccc2nc3c4c(c5ccccc5c3nc2c1)OC(=O)CC4c1ccc(F)cc1,CHCl3,411,431,20,NA,12000,4.0792
Cc1ccc2nc3cc4c(cc3c(-c3ccccc3)c2c1)[Si](C)(C)O[Si](C)(C)O[Si]4(C)C,CH2Cl2,371,502,131,0.16,11100,4.0453
Cc1ccc2nc3cc4oc(-c5ccccc5)c(-c5ccccc5)c5cccc(c3nc2c1)c45,CH2Cl2,491,544,53,0.37,NA,NA
Cc1ccc2nccc(C)c2c1N,DMSO,355,NA,NA,NA,NA,NA
Cc1ccc2nnn(-c3c(CN)c4c(N)ncnc4n3[C@H]3C[C@H](O)[C@@H](CO)O3)c2c1,MeOH,278,419,141,0.007,17100,4.233
Cc1ccc2oc(=O)c3c(O)cccc3c2c1,MeCN,NA,NA,NA,NA,26302,4.42
Cc1ccc2oc(=O)cc(C=Cc3ccc4c(c3)Sc3ccccc3N4C)c2c1,CHCl3,423,NA,NA,NA,NA,NA
Cc1ccc2oc(-c3cc4cc(C)ccc4oc3=O)cc2c1,Toluene,378,436,58,NA,33700,4.5276
Cc1ccc2oc(-c3cc4cc(C)ccc4oc3=O)cc2c1,Ethyl acetate,374,436,62,NA,32800,4.5159
